Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,In Glacier,Size in Glacier,STATUS,Notes
0023_lewis_e_m_033_020,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,995",0.032,lewis_e_m_033_020,0023_lewis_e_m_033_020,0.032,Fall 2019 batch,
0023_lewis_e_m_019_006,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,996",0.032,lewis_e_m_019_006,0023_lewis_e_m_019_006,0.032,Fall 2019 batch,
0023_lewis_e_m_013_005,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,068",0.032,lewis_e_m_013_005,0023_lewis_e_m_013_005,0.032,Fall 2019 batch,
0023_lewis_t217,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,093",0.033,lewis_t217,0023_lewis_t217,0.033,Fall 2019 batch,
0023_lewis_e_m_003_019,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,129",0.033,lewis_e_m_003_019,0023_lewis_e_m_003_019,0.033,Fall 2019 batch,
0023_lewis_e_m_032_028,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,133",0.033,lewis_e_m_032_028,0023_lewis_e_m_032_028,0.033,Fall 2019 batch,
0023_lewis_e_m_013_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,279",0.033,lewis_e_m_013_014,0023_lewis_e_m_013_014,0.033,Fall 2019 batch,
0023_lewis_e_m_023_024,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,361",0.033,lewis_e_m_023_024,0023_lewis_e_m_023_024,0.033,Fall 2019 batch,
0023_lewis_t209,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,568",0.033,lewis_t209,0023_lewis_t209,0.033,Fall 2019 batch,
0023_lewis_e_m_019_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,653",0.033,lewis_e_m_019_014,0023_lewis_e_m_019_014,0.033,Fall 2019 batch,
0023_lewis_t119,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,800",0.033,lewis_t119,0023_lewis_t119,0.033,Fall 2019 batch,
0023_lewis_e_m_019_013,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,809",0.033,lewis_e_m_019_013,0023_lewis_e_m_019_013,0.033,Fall 2019 batch,
0023_lewis_t213,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,897",0.033,lewis_t213,0023_lewis_t213,0.033,Fall 2019 batch,
0023_lewis_e_m_019_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,028",0.033,lewis_e_m_019_010,0023_lewis_e_m_019_010,0.033,Fall 2019 batch,
0023_lewis_e_m_013_012,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,037",0.033,lewis_e_m_013_012,0023_lewis_e_m_013_012,0.033,Fall 2019 batch,
0023_lewis_e_m_016_016,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,120",0.033,lewis_e_m_016_016,0023_lewis_e_m_016_016,0.033,Fall 2019 batch,
